TXN_ID,SENDER_ACCOUNT_NUMBER,RECEIVER_ACCOUNT_NUMBER,AMOUNT,CONDITIONS,TIMESTAMP
TXN_adcb8ad7c5521511c92a3b6b213090f13624b3d993780e1f9d89e09445a0a211,141_DBR,138_FUG,2000,41_WEW__HAS__2000____AND____80_HJB__HAS__2000____AND____63_RRH__HAS__2000____AND____137_AUE__HAS__2000,2022-12-27 13:53:37.597661
TXN_fc19b6cc6ed048fb01f46caf501ffe386ddd52d1016aec50c999f1e062364a38,131_BWN,18_SXS,2000,75_BCL__HAS__2000____AND____21_SFY__HAS__2000____AND____79_AGG__HAS__2000____AND____67_VBV__HAS__2000,2022-12-27 13:53:37.597941
TXN_de18ee6551aded878c61e4426bd275af6c91f084df811697a40aa282ef2f50fb,53_YWM,81_PLS,2000,57_KDG__HAS__2000____AND____11_BWF__HAS__2000____AND____49_TCJ__HAS__2000____AND____63_RRH__HAS__2000,2022-12-27 13:53:37.598206
TXN_47d8187eef38bfdefd63a3d7ca72ca40648e44b66ed13c27516b093437730e72,78_LUP,24_PAD,2000,106_UBE__HAS__2000____AND____74_AAI__HAS__2000____AND____4_DRA__HAS__2000____AND____67_VBV__HAS__2000,2022-12-27 13:53:37.598465
TXN_734dc6d9af5e047ec33265db99d3ef298d36e3b03047fb5e8cfe6cd29532f08a,67_VBV,140_AOA,2000,30_XLW__HAS__2000____AND____109_TCI__HAS__2000____AND____19_GWD__HAS__2000____AND____51_RSK__HAS__2000,2022-12-27 13:53:37.598815
TXN_82bdb702af1ad6f33b26877ad7f929b2e038689324a7375578e089a473ed1d62,36_NJW,135_FSA,2000,27_XXA__HAS__2000____AND____4_DRA__HAS__2000____AND____73_VQD__HAS__2000____AND____4_DRA__HAS__2000,2022-12-27 13:53:37.599205
TXN_faaf1f4297221ab71056f3f21a4e0ce11df551d694311784f6e8c9a2baaec3c3,11_BWF,131_BWN,2000,84_ANW__HAS__2000____AND____69_TDX__HAS__2000____AND____37_ZUT__HAS__2000____AND____85_ZVT__HAS__2000,2022-12-27 13:53:37.599630
TXN_338c1bd55573041735efd6aebfd93e162d8d932fa43d7408451c2c3781894683,33_NOE,83_CEL,2000,139_THH__HAS__2000____AND____73_VQD__HAS__2000____AND____20_SBP__HAS__2000____AND____135_FSA__HAS__2000,2022-12-27 13:53:37.599944
TXN_20d0a64b69b6e3311ab34795156398c3c4f16c5751a7ebad04ab767d0cbbe47a,122_PVV,142_QVM,2000,138_FUG__HAS__2000____AND____44_SGZ__HAS__2000____AND____103_MFP__HAS__2000____AND____67_VBV__HAS__2000,2022-12-27 13:53:37.600313
TXN_6d5c23a98e201e73d18a5818f3baa25d98d0963ff96cdd625bd9af8c799b3a6c,111_VWR,57_KDG,2000,141_DBR__HAS__2000____AND____77_YBG__HAS__2000____AND____137_AUE__HAS__2000____AND____121_BME__HAS__2000,2022-12-27 13:53:37.600659
