TXN_ID,SUB_TXN_ID,ACCOUNT_NUMBER,ACCOUNT_NAME,AMOUNT,TIMESTAMP
TXN_8d3380a0b1167d27fdb1bd1ae27f2856178f6fe231e49a1334637bc9fd87a9ea,SUB_TXN_d3ef5d27a48d925756a324967878bd164507ad9adf07dd478f85df0798cfb3e2,2_WYH,WYH,2000,2022-12-27 13:53:37.573232
TXN_26023ba5b09513c839246a5af791ac74752c84e17dee7b79d847345daac1be1a,SUB_TXN_4282e518e06d1c253a63b51329d6993b8ebf202692e963f32a33a072a47d6a7c,6_ROV,ROV,2000,2022-12-27 13:53:37.574308
TXN_ec01449a8305bfd997dc024b1a0d77f3097c49f2b1bd8213299b34577a9c7d91,SUB_TXN_27e1b7e3758e12e20834eec6b07e8e8f5dec883539b26fe732c1788977191fd8,10_AMF,AMF,2000,2022-12-27 13:53:37.574923
TXN_86f834d74469e551bedb1def6bba89dbda1ded3ad6cd502f5d96636cece8f7f6,SUB_TXN_c1b6d16b097488ac5d8c48ce858b7adde14c9d53732c50bfe194ba585552b97c,14_AVN,AVN,2000,2022-12-27 13:53:37.575633
TXN_7acbac6d6f8cf52a005a70cec5c34f8db710639220518d5e12cbf17681adcfcb,SUB_TXN_a16510ef27cb9357dc53194265decc3260fda9dc3d9236666cd6dd5df3183e9f,18_SXS,SXS,2000,2022-12-27 13:53:37.576415
TXN_4f6426af9353c215c3d2930d7f60ff6d5b349bba1234feefc3493b504f069943,SUB_TXN_f030fa478b38f3d1b07fb696bf062b8223f01c68d50ffb5bb528ea66a498378f,22_OKV,OKV,2000,2022-12-27 13:53:37.576910
TXN_718e46c8ba5db95550c2a096971e03e6c4a13df144f111df2b11d967bf4717f5,SUB_TXN_6becb75b0cd08db12741f5ed5388f225ed998c1a83704f67fb292354b1c4dd45,26_CAB,CAB,2000,2022-12-27 13:53:37.577380
TXN_14b431c93ef271d966658a66ea2adc0a33da70da3a4d561b0612945d3b5755f3,SUB_TXN_20c1060f0079ce384f1a132486874f7a5724066c32df2803186a9d71275fe0b6,30_XLW,XLW,2000,2022-12-27 13:53:37.577847
TXN_ab36e194597798dbe6f6c865f8af9b5db31cbdde6aad11669a3e53a30ec7a245,SUB_TXN_3ebb4df896ff0b4a02bc1a6f94750daecbb1b0c19b0c86d9ab6e605a492d0383,34_YIV,YIV,2000,2022-12-27 13:53:37.578320
TXN_c7c91516c4adb92216cfa0dc7cae719c4dd21f49a3f5dcea40d8e106d867c4ff,SUB_TXN_d11801761371a189d57ea819177a076bd827fc3fce04828cb869d4576e0e873c,38_OFR,OFR,2000,2022-12-27 13:53:37.578783
TXN_1d6018d3063a9658501df12596c8651bbaeeaae4e0c8b27cdff4be4462016450,SUB_TXN_1bd7980efbbc22c38d030808dbe94440fe99e02de5b2d9de0506245d7ab45a39,42_CMQ,CMQ,2000,2022-12-27 13:53:37.579278
TXN_05527aa0344ad55a7dd58e0f6207cdebdd636b6f638b4b1cd1ef1f28946b9573,SUB_TXN_6bdede326fca15bec7b765945084bec4c8dd99696b1a9064bbaa378641136603,46_YIP,YIP,2000,2022-12-27 13:53:37.579744
TXN_4ba0d039279984bd310fc25b30331616298cc58c9a2013d2b9821d781c1ac6f4,SUB_TXN_c4d8d9ce7000e1e7949c4693906b3ed5ff85dd2bebb722bfbea303e218233ea0,50_ZSO,ZSO,2000,2022-12-27 13:53:37.580207
TXN_de304a58d5043a389d7416b4d6fba10b03b8e623228fb70f113b47ecb5dc453d,SUB_TXN_133618a88d4583c8cf391c102804071d1207e39d4d7d0fa6c20cf57d9bfe6793,54_XHK,XHK,2000,2022-12-27 13:53:37.580684
TXN_bc723a98118dd0371db01979b8e9c570f9e3c23081364ca8907240e57189bf43,SUB_TXN_8639876ea269f7d30b6836da6564bc53105351adbd60440485f5116b9d69d477,58_PSE,PSE,2000,2022-12-27 13:53:37.581178
TXN_e8fc7846f9eedf5bb5c5083535cb46edb3d3c2c8d4b9a18ab8a39a80e8eb6339,SUB_TXN_51650a79cd764048154bb1546efe5b6a29f0889c486a1a673d43cfec49f3b46d,62_YTV,YTV,2000,2022-12-27 13:53:37.581663
TXN_12dbf5bdb0e587e3713cbf337db1d6b66a733857f2839518a9b83b519dde526e,SUB_TXN_30b090c72185f9d4ee179fe07555e563d772afc2d19c219b94d2bb34a1a03ab7,66_YYF,YYF,2000,2022-12-27 13:53:37.582465
TXN_af496ba665731f69bb8230910bc5bc5fa4a125be500a9d963bc17b2955f57c0b,SUB_TXN_d193d204070dd345b148ec90cd230a0d1b2bba7fda6e60c6a70168c658a706e6,70_LPW,LPW,2000,2022-12-27 13:53:37.583034
TXN_190517d224623d2b3a95e03c3c40d4f98fbf4ae8e689ca7f9c1d11d2972e9662,SUB_TXN_04fcc7e3c18762949b47b97f671314ffa37ea174236ae5b73a1a8ad8f72dc483,74_AAI,AAI,2000,2022-12-27 13:53:37.583502
TXN_c142e061f7881b85d50f7359f7e9763544025a54e44a6a0b064e20d7337fc228,SUB_TXN_2236900b6ec0da8db03bbce076729c36ff2aca3ce8d7e04b95bfe9a2349f8d30,78_LUP,LUP,2000,2022-12-27 13:53:37.584101
TXN_4694ccef54b3783e013415e13683f83a645ec3495186d9e73c0931fd9020fb9c,SUB_TXN_da39396e3953c112c03abb8c867b376885cfe1b12343c2e7c4a546400b9990de,82_KLX,KLX,2000,2022-12-27 13:53:37.584647
TXN_ac66cfcfadaaeefcf2c70f25c6c92d42c26f7d90522cd32071a933432b48ff72,SUB_TXN_3b75386ddadd5661db99c8352785f4291bd0184c650e90b294b568509afab914,86_VQV,VQV,2000,2022-12-27 13:53:37.585264
TXN_124f21af4ed844d5bb9c311362d03006e5da9783a3b9cd2b06a5adcacbe2f643,SUB_TXN_673e6a9393452d9c0b270ffbd7766e4fdc38034f1e02275f15e08e88ef887321,90_JYV,JYV,2000,2022-12-27 13:53:37.585857
TXN_ab79abe40f211e4d679f5f6894bb79dd35f2e056bb84a34cdc638f67161efd1d,SUB_TXN_613e3c610cd764a7862d99c28fc16f1053863beff35895f1d9b3249725ff55a2,94_ZIB,ZIB,2000,2022-12-27 13:53:37.586473
TXN_3106b119e75c586dcf0b17f82687d0cffa37fe7f08afe2a4ec71a405e65d2c32,SUB_TXN_6920a381d15f1c4d25fb5f8d3ae16acc860046a9187ac49a1f78a785af096113,98_KCA,KCA,2000,2022-12-27 13:53:37.587082
TXN_c2a0c49392d24efc389aa4cc5c8785a7fadbb25afcd72decc49587929749ac22,SUB_TXN_d58d0346231b426a234958cf95942e631648589860c297e8dfa6071564894b8d,102_ZGR,ZGR,2000,2022-12-27 13:53:37.587587
