TXN_ID,SENDER_ACCOUNT_NUMBER,RECEIVER_ACCOUNT_NUMBER,AMOUNT,CONDITIONS,TIMESTAMP
TXN_2c38998f72208def796296d33617ccc9c10d1d976946fafb43b184bb9fdd1021,89_FYG,68_FKN,2000,108_XPV__HAS__2000____AND____28_SOB__HAS__2000____AND____135_WPM__HAS__2000____AND____38_AYK__HAS__2000,2022-12-21 22:42:26.659196
TXN_2a9e44b52312e8bd887d5fe390cc548ed3d3fe7635a838ddbc2d861ee25b80c3,22_RIQ,124_BRL,2000,100_SNZ__HAS__2000____AND____16_IMW__HAS__2000____AND____26_HAF__HAS__2000____AND____84_FXM__HAS__2000,2022-12-21 22:42:26.659507
TXN_00bc5d236177dde26dc384e540078e588c6a4f08742c1ed15010041617aa7bff,136_MGD,132_MAD,2000,124_BRL__HAS__2000____AND____118_HJG__HAS__2000____AND____41_HRJ__HAS__2000____AND____13_LMN__HAS__2000,2022-12-21 22:42:26.659766
TXN_add597c462396549c4337a0d071c75bdec229a4301293307a75a421730a8fdfb,129_GDC,101_SWG,2000,144_KQW__HAS__2000____AND____40_UMC__HAS__2000____AND____34_VJF__HAS__2000____AND____108_XPV__HAS__2000,2022-12-21 22:42:26.660019
TXN_da3fa63b28ddafd983821d94db644362f51626730882c95b467de17a4686bba6,26_HAF,63_WHX,2000,30_WIY__HAS__2000____AND____103_MKN__HAS__2000____AND____33_HXN__HAS__2000____AND____63_WHX__HAS__2000,2022-12-21 22:42:26.660265
TXN_d3ec411342416fa41afb69a61535e45acac492da359cbcad58764eae94576eb4,146_LWF,107_NUM,2000,114_BZV__HAS__2000____AND____80_LBQ__HAS__2000____AND____112_XGI__HAS__2000____AND____122_MXT__HAS__2000,2022-12-21 22:42:26.660507
TXN_4e6e1ddd6e03e211d31e956e74374269a7b482ebeae56da72cfd92732ff3f7de,8_MGQ,1_HGK,2000,99_WTP__HAS__2000____AND____37_LTW__HAS__2000____AND____76_RPI__HAS__2000____AND____4_JEY__HAS__2000,2022-12-21 22:42:26.660793
TXN_4d2b05c66f2005cd3da3dbf4f48bf653cd91b1ee88cd5b05c669d8e06537209c,124_BRL,114_BZV,2000,61_ESH__HAS__2000____AND____18_ICF__HAS__2000____AND____22_RIQ__HAS__2000____AND____89_FYG__HAS__2000,2022-12-21 22:42:26.661180
TXN_fea9772559f1aac6b3adc0fab4bb338b1bfc906ee07a123e45f5177ce65b6115,38_AYK,3_CBN,2000,60_NKP__HAS__2000____AND____60_NKP__HAS__2000____AND____108_XPV__HAS__2000____AND____136_MGD__HAS__2000,2022-12-21 22:42:26.661441
TXN_23f73187cad17a9028ea0ff98ae6baac03da13bb45b0e51bd33f8b14ea7f33b6,76_RPI,114_BZV,2000,85_TJC__HAS__2000____AND____129_GDC__HAS__2000____AND____129_GDC__HAS__2000____AND____66_YAU__HAS__2000,2022-12-21 22:42:26.661692
TXN_195eb929ed9a2dbc1e4a302f0a37afb6e6812f98226a0871269859ae80858489,96_FCG,87_EKW,2000,31_VVQ__HAS__2000____AND____26_HAF__HAS__2000____AND____94_FWT__HAS__2000____AND____54_QIT__HAS__2000,2022-12-21 22:42:26.661935
TXN_4305aef867b162292b13a397a1f0922626dd2294adab7f748329ead30f566588,111_KSW,130_OHI,2000,73_OHW__HAS__2000____AND____123_LOV__HAS__2000____AND____64_SHK__HAS__2000____AND____114_BZV__HAS__2000,2022-12-21 22:42:26.662175
TXN_08e0ca95b2f3aaf6b514e2177a98bbcb02edb1ecc2a2b2e00e3fecbe2eebcc45,113_RQM,119_MPP,2000,40_UMC__HAS__2000____AND____127_ONO__HAS__2000____AND____124_BRL__HAS__2000____AND____2_OBC__HAS__2000,2022-12-21 22:42:26.662417
TXN_b105688488dcf450594df37b39a0e8322ad6030f75e76ab8ed00fd05a682eb33,11_GZG,109_KKZ,2000,13_LMN__HAS__2000____AND____36_GAN__HAS__2000____AND____12_LHC__HAS__2000____AND____4_JEY__HAS__2000,2022-12-21 22:42:26.662658
TXN_d941aa2767928e15b9434360506a59eb58d012a04d204a44a0e6b07e31645eb4,45_IQA,18_ICF,2000,80_LBQ__HAS__2000____AND____106_TOB__HAS__2000____AND____85_TJC__HAS__2000____AND____69_DZY__HAS__2000,2022-12-21 22:42:26.662899
TXN_5da7b4ee87ab1abdbbbb4db8dfc4b7c47244cf04be4f7e0bd6de4349ac9ac4ea,113_RQM,75_GNH,2000,119_MPP__HAS__2000____AND____125_HKM__HAS__2000____AND____139_LHM__HAS__2000____AND____135_WPM__HAS__2000,2022-12-21 22:42:26.663139
TXN_e5dfec7201fe63bd7614465c4733b4890af15026c8e488ac872598a0df35480f,47_QAO,107_NUM,2000,2_OBC__HAS__2000____AND____5_SPP__HAS__2000____AND____64_SHK__HAS__2000____AND____121_HPV__HAS__2000,2022-12-21 22:42:26.663377
TXN_74c483334289c06f9920e54ef9cbdc70ab15279f69c66e8d3127a96d3afca414,71_KQI,34_VJF,2000,89_FYG__HAS__2000____AND____135_WPM__HAS__2000____AND____50_JRQ__HAS__2000____AND____6_NYZ__HAS__2000,2022-12-21 22:42:26.663615
TXN_d6727ea1558268425590508c71977ed87e5b0f97382e68b85bdef833dad826fb,98_NHU,20_EHM,2000,30_WIY__HAS__2000____AND____120_JFF__HAS__2000____AND____78_GOV__HAS__2000____AND____122_MXT__HAS__2000,2022-12-21 22:42:26.663854
TXN_7c2b26c827effe794ad5fea1036e0760b1144e91b4c2f2718c1686dd8c3aabe6,80_LBQ,105_QML,2000,78_GOV__HAS__2000____AND____11_GZG__HAS__2000____AND____30_WIY__HAS__2000____AND____19_GOC__HAS__2000,2022-12-21 22:42:26.664980
TXN_44d2881ce8ad82ef5f9c32c4cca04a90841fbbdab200b29e48341d5e720126bc,133_YMO,116_RGT,2000,105_QML__HAS__2000____AND____80_LBQ__HAS__2000____AND____140_NCR__HAS__2000____AND____112_XGI__HAS__2000,2022-12-21 22:42:26.665324
TXN_3b8bb845fb8aa3014979dceb840f91db00251ec72a58bede0d43a79ce2516bcb,29_AII,11_GZG,2000,9_RHA__HAS__2000____AND____124_BRL__HAS__2000____AND____31_VVQ__HAS__2000____AND____36_GAN__HAS__2000,2022-12-21 22:42:26.665581
TXN_ef35ea0a6d08ff342b9c1d42443efff98e47696e7166503a35e7b640f7e3f8ca,124_BRL,50_JRQ,2000,63_WHX__HAS__2000____AND____73_OHW__HAS__2000____AND____148_UZJ__HAS__2000____AND____129_GDC__HAS__2000,2022-12-21 22:42:26.665828
TXN_01e5005b6acc38761035d189791cdff0986741dd277feb9a81d6dceefb709c61,20_EHM,11_GZG,2000,1_HGK__HAS__2000____AND____9_RHA__HAS__2000____AND____5_SPP__HAS__2000____AND____80_LBQ__HAS__2000,2022-12-21 22:42:26.666077
TXN_26c8bda44af9cc69b05f03b1ead06e5f599861de70e6a45cfca805dd9ae89bad,126_LTW,61_ESH,2000,48_PRN__HAS__2000____AND____51_SSP__HAS__2000____AND____45_IQA__HAS__2000____AND____145_SGF__HAS__2000,2022-12-21 22:42:26.666320
TXN_4a12ac701972a1eddfaf5eec9d3e96bfbe727b335418af33942880c61971a2ab,56_NJA,101_SWG,2000,39_BQI__HAS__2000____AND____26_HAF__HAS__2000____AND____132_MAD__HAS__2000____AND____139_LHM__HAS__2000,2022-12-21 22:42:26.666557
TXN_de70982f66e984f9905189f52d97fe6f69198607c62d1fc25a986ce63f8db3ce,6_NYZ,125_HKM,2000,24_KGT__HAS__2000____AND____15_UKP__HAS__2000____AND____106_TOB__HAS__2000____AND____46_TKE__HAS__2000,2022-12-21 22:42:26.666794
TXN_9ba68c60178296d1a8591a60768247a466be4984bb9ee395bcdaf921a13c473f,138_OPP,70_TTY,2000,143_JNJ__HAS__2000____AND____66_YAU__HAS__2000____AND____54_QIT__HAS__2000____AND____106_TOB__HAS__2000,2022-12-21 22:42:26.667032
TXN_9eeca1f008eb8e286cd5391d90b0508e71a96830eca388b87f4efc55c7b5c8a1,49_WBG,115_CXV,2000,60_NKP__HAS__2000____AND____82_LCS__HAS__2000____AND____41_HRJ__HAS__2000____AND____116_RGT__HAS__2000,2022-12-21 22:42:26.667272
TXN_4a7e3dc86258a76ebe5c0e123c9139a03ea19c0a21accd453d2e77fa8a66fc28,72_BTC,24_KGT,2000,42_LPN__HAS__2000____AND____38_AYK__HAS__2000____AND____108_XPV__HAS__2000____AND____121_HPV__HAS__2000,2022-12-21 22:42:26.667509
TXN_bdb5afb2c05efd96f8f7bc9acae8c96c39ebe7a9581efc095b2f552c5ff2a085,142_FNA,36_GAN,2000,133_YMO__HAS__2000____AND____128_HWK__HAS__2000____AND____144_KQW__HAS__2000____AND____74_ZBF__HAS__2000,2022-12-21 22:42:26.667748
TXN_618572b67d7eaf707235fbe8fe262d3c0b9919de2f7443fa0f69ad945d07e200,135_WPM,135_WPM,2000,92_OAA__HAS__2000____AND____48_PRN__HAS__2000____AND____40_UMC__HAS__2000____AND____59_JYF__HAS__2000,2022-12-21 22:42:26.667984
