TXN_ID,SUB_TXN_ID,ACCOUNT_NUMBER,ACCOUNT_NAME,AMOUNT,TIMESTAMP
TXN_73b3bcc573602e716e8a4829655673b6d9e9f0bc6436bf75e1ec22e56b0901d6,SUB_TXN_a984435633d7c3679c7dec007197922b87d363beb99206bba87577d7442d7147,0_LFH,LFH,2000,2022-12-21 22:31:50.014688
TXN_8bf247350ebfc5f54307fa24bfcffee3a92ec649f4160a9ca9a9d3fab33c9cee,SUB_TXN_4927f58efda76d73af18a342eee55a4d15fb31505330886996b7ef2451b2a0d5,4_KSX,KSX,2000,2022-12-21 22:31:50.015241
TXN_bc7e765aecdbdfec65fadcde032c7c4df25dabfc35aa02f18200c54bc5228652,SUB_TXN_71564fdf1e2c6765a51a9fc77cc1736e0e822772b0e0713a367aff748d258eae,8_BKB,BKB,2000,2022-12-21 22:31:50.015677
TXN_afc59048ba97e46b86d601eae509003386014c7c4802e59a60fb0bb98e690ba3,SUB_TXN_c6823256c2950c41cd81ee7ce7eb8e68f3f3e64db0f973cf6eb68656d8ad889b,12_HBU,HBU,2000,2022-12-21 22:31:50.016104
TXN_6b5ad6567fcab53d90592422d86f6ad3244dc024e71ee6982f2306d78b70ac84,SUB_TXN_d8f57919db08842d1ed644c9d69f63f1b7d65aea661f040e4bebae6db7be2d28,16_KLJ,KLJ,2000,2022-12-21 22:31:50.016529
TXN_1daf87aa4d4bfb0e5b1cd6b28c0cc7a3fb5d1fcff099d0cf2e701d5eeb426eec,SUB_TXN_46a101137077b809bb8569ccfabaf40740a9e8fbe12533ff1e9c62c469041978,20_HKX,HKX,2000,2022-12-21 22:31:50.017104
TXN_44416d6e2fd1a9f3c6df44c074a57082f3e221f8dbf63ff209ed8bada01643e5,SUB_TXN_a33e64099866134811632f7711c119ca72a943229a7a31a9d95a9700a11cd531,24_MQW,MQW,2000,2022-12-21 22:31:50.017579
TXN_1253096489d6466ec35679d237c9caa4d644d3d4c007cb72e61a4a5dcf620934,SUB_TXN_81653f5855cd594ccfe8089c250ddf7841df9915fe84ded8e008b3247a23b584,28_EBF,EBF,2000,2022-12-21 22:31:50.018025
TXN_576025dc059d6e8d6f7bf0f9c5c8c93451d2330406e85122d7413a160f767cb7,SUB_TXN_5c8bfeecafae75539c220da92331947331d2afd6e419d15bf9c286625cedf764,32_OQN,OQN,2000,2022-12-21 22:31:50.018474
TXN_64f5fe6a8d69f2eabee1a59637ce50fc2fecfcdc795e4b81e92821fc22608a91,SUB_TXN_dc96764eb06b68f118f3b8dcf54d0b1427942d590ddd3a5f93f71777ff57908b,36_BIP,BIP,2000,2022-12-21 22:31:50.018912
TXN_aabe1e243fce4a2f0f6b5eea32ab95639c217bd94fe0a82ca8133fe07e55311a,SUB_TXN_7c90e770f472029e8101a5b25f8b2cbdf7c7471e008b6c257aeebf60c1e6b8f7,40_PVQ,PVQ,2000,2022-12-21 22:31:50.019361
TXN_f95513d81c1182b12c6fee10f3fea2fe798dc8ecda6d0f06e3e587993cf364fe,SUB_TXN_c3dfde7ca57566f2882f86c40d79c19f711e8216cbd6015b5d1d282cbddc4391,44_HKJ,HKJ,2000,2022-12-21 22:31:50.019808
TXN_1a397e4fb3394103f306777ea56c541776ecf20efed5783ab47da49c2068c2a0,SUB_TXN_cfae6f955b7b389d044e0b5227a788bed03433761492ae39fbff6bf43332a125,48_WIX,WIX,2000,2022-12-21 22:31:50.020407
TXN_8beb224754e82c3414b7cffd62b8f18e74b96e54b6361b1c06b288b2e1ba5432,SUB_TXN_9d3401d8b89808fd57eefe60dbdfc777a20d69af4f36412f82c0b544da8aff36,52_AKN,AKN,2000,2022-12-21 22:31:50.020934
TXN_bdfa2d0681095e210a2255b4df777a998670c72bdecd4d38b2318b029e92ac54,SUB_TXN_9428cdbf5716bf849ec7d2c75ba510372d103635d568b7598db5fb37093b82ca,56_VGN,VGN,2000,2022-12-21 22:31:50.021490
TXN_89ed707b47bc4bbae8167cae6b2800c8ab2802b37fa8935d8513f09b0a19ce4d,SUB_TXN_2da0b99af6fd74537afd19db29cada3edf55e05b122ecfe6e12a644d51fac269,60_BSJ,BSJ,2000,2022-12-21 22:31:50.021927
TXN_84b6311381968d922a718cc245f48d10d9062b0ef72de4802a2d10374d9ff7e6,SUB_TXN_38331fc5d9a1d004b2c96b2f6f3b04fe52ebc192a7c057cbba93e7990a766d03,64_NEU,NEU,2000,2022-12-21 22:31:50.022378
TXN_449c2604659d74d0ca8ac6afb0d4620b5b075a6e704dcd80fb1bde6a74d66020,SUB_TXN_8d0cd154bb74b15a0ead9e027f746c15534e0f85953c50476936cddb78aa05e7,68_AIN,AIN,2000,2022-12-21 22:31:50.022822
TXN_9394974b44c82c2128a65a332a7925299acbeefcdcb7bb83502415444e4d477f,SUB_TXN_1687745127df30311c7b2d1a82a8eda8d0ab32621ecdcb101df094518046faa5,72_DCZ,DCZ,2000,2022-12-21 22:31:50.023390
TXN_85359dea4beaf89a5f791b02e08e75750aa69359c6eba7b38b56d170c3e439fe,SUB_TXN_1007d31644616eb2f2f2e300c76fe867ae2b9cd7b649a286880291443984c1a1,76_KMC,KMC,2000,2022-12-21 22:31:50.023909
TXN_0076f11e452aa837e83834ef88e12efe103de001b7d6314262ec245223a5ff80,SUB_TXN_6bb96859e4ec073f1ef395f54c89498b3fd655df589e9fc333d90c0cc1595fdc,80_ZYA,ZYA,2000,2022-12-21 22:31:50.024362
TXN_36302c2e482b845623e6b42f94aa9f203c0366c4216de68e89c2839579eac113,SUB_TXN_423386071217952ef2162a8179016bf802336ecd5a686b5f27bff905f43031d7,84_IHX,IHX,2000,2022-12-21 22:31:50.024807
TXN_e7cf2b4366012acd5b184677f165e2b3140797554d784c0f3d038429944b72e7,SUB_TXN_c6cd1061bb659b2fd51d082db03c5dc0a51f3e3cf6f904f95af3ced86a4c8f0d,88_IUV,IUV,2000,2022-12-21 22:31:50.025506
TXN_17b6191f46d37f2d64b6c27376d6082d90243f81364683aae8eb268eb433b2d7,SUB_TXN_3f2e1ce36ccbebcbb4f3983fb70dd50646939a92f645aadf48719c9b0ae1c2d2,92_VSD,VSD,2000,2022-12-21 22:31:50.025942
TXN_587c154a2d694881c4d861439b3ec474380f269c77cd4900ace920f021a69fae,SUB_TXN_226f29face6135ec48e76afa13602a2b5383ef4984df328427b0bedcf5ad5bd9,96_BBO,BBO,2000,2022-12-21 22:31:50.026377
TXN_4f5449de05c8a7cb0871f087968890d81e126785b3e9acfda0e6b432304a0485,SUB_TXN_b1ece5e0c91842cdccd7fb3248dd45b08e9ad66ce42406ec836eee5ef9c3a6a1,100_TSU,TSU,2000,2022-12-21 22:31:50.026818
